clockspeed,length,HighestRamUsage,AvgRamUsage
2,37780167990,1.951171875,0.96
2,29934914581,3.078613281,1.318
2,7068167150,5.339355469,3.077
2,1630042729,6.55078125,0.843180339
2,688589038.6,10.83544922,7.214904785
2,26855810924,38.28125,24.98998136
2.2,6671000193,1.387939453,0.959
2.2,36863775719,2.08203125,1.16
2.2,5073887422,2.94921875,1.850952148
2.2,21960929183,4.373535156,2.49
2.2,7736120707,9.073974609,6.724
2.2,19793816536,17.30712891,11.03
2.2,3350298903,30.00192261,16.28
2.2,3841297861,93.61303711,52.89928436
2.3,14796141594,1.616308594,0.847
2.3,21111805538,2.396240234,1.36
2.3,9984222812,4.526367188,2.966
2.3,7039754494,11.86376953,6.706
2.3,25374508088,1.184692383,0.5871
2.5,46254656034,2.391357422,1.157
2.5,9986521886,7.064208984,4.743
2.5,22623586050,13.00634766,7.441
2.5,3420260768,89.484375,52.99176897
2.5,3359878520,180.6121216,88.02540636
2.6,4781462479,1.771875,1.349
2.6,9441865366,2.853271484,1.34
2.6,14070174498,5.024414063,3.28
2.6,14313449105,8.470458984,5.850151062
2.6,7936045688,13.50146484,7.154056549
2.8,17633258041,1.604003906,0.719
2.8,16288508768,5.265625,2.767
2.8,14722775441,7.63671875,3.654
2.8,11473017432,12.6953125,4.891
3.1,3014383531,1.31640625,1.037434896
3.1,2529338425,4.248046875,1.463241577
